epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1941,2.73669,5.20236,2.39838,0.00898,0.5,0.1031,0.06551,1.95468,4.02636,2.29639,7.5e-05,7.5e-05,7.5e-05
2,55.0753,2.32369,4.14529,2.03847,0.03636,0.70833,0.12079,0.06146,1.9471,3.91678,2.15278,0.000160489,0.000160489,0.000160489
3,84.6471,2.29939,4.34226,2.08139,0.19255,0.48824,0.37864,0.18998,1.91037,3.84349,1.99041,0.000243812,0.000243812,0.000243812
4,123.384,2.11381,3.50995,1.98519,0.66697,0.54466,0.49566,0.20479,1.91481,4.30481,1.95179,0.00032497,0.00032497,0.00032497
5,153.233,1.74688,2.73903,1.73986,0.66697,0.54466,0.49566,0.20479,1.91481,4.30481,1.95179,0.000403962,0.000403962,0.000403962
6,180.479,1.755,2.57613,1.69769,0.44271,0.58333,0.61528,0.27897,1.73765,3.07628,1.79823,0.000480789,0.000480789,0.000480789
7,208.765,1.66535,2.50687,1.64402,0.44271,0.58333,0.61528,0.27897,1.73765,3.07628,1.79823,0.00055545,0.00055545,0.00055545
8,237.131,1.7151,3.12382,1.66429,0.37217,0.31808,0.36489,0.20479,1.81688,3.51763,1.84247,0.000627945,0.000627945,0.000627945
9,263.739,1.36784,2.58305,1.41234,0.37217,0.31808,0.36489,0.20479,1.81688,3.51763,1.84247,0.000698275,0.000698275,0.000698275
10,290.98,1.43628,2.61245,1.51544,0.37217,0.31808,0.36489,0.20479,1.81688,3.51763,1.84247,0.000766439,0.000766439,0.000766439
11,317.041,1.52288,2.78082,1.54754,0.37217,0.31808,0.36489,0.20479,1.81688,3.51763,1.84247,0.000832437,0.000832437,0.000832437
12,345.593,1.42351,2.35869,1.5406,0.59243,0.58333,0.48123,0.27989,1.75162,4.18482,2.00795,0.00089627,0.00089627,0.00089627
13,378.028,1.35989,2.38507,1.54332,0.59243,0.58333,0.48123,0.27989,1.75162,4.18482,2.00795,0.000957937,0.000957937,0.000957937
14,412.906,1.36225,2.30689,1.4691,0.59243,0.58333,0.48123,0.27989,1.75162,4.18482,2.00795,0.00101744,0.00101744,0.00101744
15,444.38,1.56281,2.5334,1.60887,0.59243,0.58333,0.48123,0.27989,1.75162,4.18482,2.00795,0.00103344,0.00103344,0.00103344
16,475.382,1.27664,2.39447,1.36739,0.93201,0.22802,0.23775,0.11796,1.74589,4.59756,2.19329,0.00101797,0.00101797,0.00101797
17,504.482,1.22636,2.85778,1.4674,0.93201,0.22802,0.23775,0.11796,1.74589,4.59756,2.19329,0.0010025,0.0010025,0.0010025
18,532.229,1.33921,2.83016,1.3676,0.93201,0.22802,0.23775,0.11796,1.74589,4.59756,2.19329,0.000987031,0.000987031,0.000987031
19,560.166,1.52869,3.01061,1.59011,0.93201,0.22802,0.23775,0.11796,1.74589,4.59756,2.19329,0.000971562,0.000971562,0.000971562
20,591.559,1.09819,2.69829,1.33028,0.93201,0.22802,0.23775,0.11796,1.74589,4.59756,2.19329,0.000956094,0.000956094,0.000956094
21,622.464,1.20064,3.44881,1.45733,0.28422,0.45833,0.43698,0.23141,1.44094,16.8917,1.85432,0.000940625,0.000940625,0.000940625
22,650.452,1.33471,3.345,1.46763,0.28422,0.45833,0.43698,0.23141,1.44094,16.8917,1.85432,0.000925156,0.000925156,0.000925156
23,677.102,1.22222,3.3286,1.38191,0.28422,0.45833,0.43698,0.23141,1.44094,16.8917,1.85432,0.000909688,0.000909688,0.000909688
24,703.435,1.32808,3.55136,1.49907,0.28422,0.45833,0.43698,0.23141,1.44094,16.8917,1.85432,0.000894219,0.000894219,0.000894219
25,729.88,1.19408,3.65734,1.44751,0.41655,0.66667,0.4964,0.31105,1.60963,4.52579,1.82347,0.00087875,0.00087875,0.00087875
26,756.18,1.43493,2.35076,1.53166,0.41655,0.66667,0.4964,0.31105,1.60963,4.52579,1.82347,0.000863281,0.000863281,0.000863281
27,783.034,1.39268,2.07028,1.44147,0.41655,0.66667,0.4964,0.31105,1.60963,4.52579,1.82347,0.000847813,0.000847813,0.000847813
28,811.868,1.2793,1.92212,1.35714,0.41655,0.66667,0.4964,0.31105,1.60963,4.52579,1.82347,0.000832344,0.000832344,0.000832344
29,838.981,1.40138,2.16298,1.49105,0.41655,0.66667,0.4964,0.31105,1.60963,4.52579,1.82347,0.000816875,0.000816875,0.000816875
30,868.789,1.31116,2.03373,1.46069,0.78492,0.26286,0.63741,0.35488,1.32516,3.51645,1.51873,0.000801406,0.000801406,0.000801406
31,899.352,1.18487,2.0111,1.24619,0.78492,0.26286,0.63741,0.35488,1.32516,3.51645,1.51873,0.000785938,0.000785938,0.000785938
32,925.291,1.19669,2.12363,1.34967,0.78492,0.26286,0.63741,0.35488,1.32516,3.51645,1.51873,0.000770469,0.000770469,0.000770469
33,951.868,1.18727,2.02707,1.28154,0.78492,0.26286,0.63741,0.35488,1.32516,3.51645,1.51873,0.000755,0.000755,0.000755
